id,category,trial,route,expected_answer,final_output,correct,error_code,latency_wall_s,verify_used,verify_pass,fallback_used,sym_expr,sym_output,log_file
AR01,AR,1,LLM+VERIFY_PASS,408,408,1,E0,6.0060,1,1,0,17 * 24,408,runs_hybrid_v2/20251221_193934/logs/AR01__AR__t1.json
AR02,AR,1,LLM+VERIFY_PASS,266,266,1,E0,6.3209,1,1,0,38 * 7,266,runs_hybrid_v2/20251221_193934/logs/AR02__AR__t1.json
AR03,AR,1,LLM+VERIFY_PASS,784,784,1,E0,6.9530,1,1,0,56 * 14,784,runs_hybrid_v2/20251221_193934/logs/AR03__AR__t1.json
AR04,AR,1,LLM+VERIFY_PASS,613,613,1,E0,2.3145,1,1,0,1000 - 387,613,runs_hybrid_v2/20251221_193934/logs/AR04__AR__t1.json
AR05,AR,1,LLM+VERIFY_PASS,25,25,1,E0,1.6585,1,1,0,625 / 25,25,runs_hybrid_v2/20251221_193934/logs/AR05__AR__t1.json
AR06,AR,1,LLM+VERIFY_PASS,12,12,1,E0,1.7392,1,1,0,144 / 12,12,runs_hybrid_v2/20251221_193934/logs/AR06__AR__t1.json
AR07,AR,1,LLM+VERIFY_PASS,225,225,1,E0,1.6821,1,1,0,15^2,225,runs_hybrid_v2/20251221_193934/logs/AR07__AR__t1.json
AR08,AR,1,LLM+VERIFY_PASS,729,729,1,E0,2.2768,1,1,0,9^3,729,runs_hybrid_v2/20251221_193934/logs/AR08__AR__t1.json
AR09,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,20,20,1,E0,7.9210,1,0,1,(45 + 55) / 5,20,runs_hybrid_v2/20251221_193934/logs/AR09__AR__t1.json
AR10,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,18,18,1,E0,2.2719,1,0,1,81 - 9*7,18,runs_hybrid_v2/20251221_193934/logs/AR10__AR__t1.json
ALG01,ALG,1,LLM+VERIFY_PASS,7,7,1,E0,8.0373,1,1,0,x + 5 = 12,7,runs_hybrid_v2/20251221_193934/logs/ALG01__ALG__t1.json
ALG02,ALG,1,LLM+VERIFY_PASS,7,7,1,E0,7.8064,1,1,0,3x = 21,7,runs_hybrid_v2/20251221_193934/logs/ALG02__ALG__t1.json
ALG03,ALG,1,LLM+VERIFY_PASS,4,4,1,E0,7.4231,1,1,0,2x + 3 = 11,4,runs_hybrid_v2/20251221_193934/logs/ALG03__ALG__t1.json
ALG04,ALG,1,LLM+VERIFY_PASS,24,24,1,E0,8.2116,1,1,0,x/4 = 6,24,runs_hybrid_v2/20251221_193934/logs/ALG04__ALG__t1.json
ALG05,ALG,1,LLM+VERIFY_PASS,2,2,1,E0,8.5903,1,1,0,5x - 10 = 0,2,runs_hybrid_v2/20251221_193934/logs/ALG05__ALG__t1.json
ALG06,ALG,1,LLM+VERIFY_PASS,13,13,1,E0,8.3591,1,1,0,7 + x = 20,13,runs_hybrid_v2/20251221_193934/logs/ALG06__ALG__t1.json
ALG07,ALG,1,LLM+VERIFY_PASS,2,2,1,E0,7.7113,1,1,0,9x + 1 = 19,2,runs_hybrid_v2/20251221_193934/logs/ALG07__ALG__t1.json
ALG08,ALG,1,LLM+VERIFY_PASS,5,5,1,E0,8.2318,1,1,0,x - 8 = -3,5,runs_hybrid_v2/20251221_193934/logs/ALG08__ALG__t1.json
ALG09,ALG,1,LLM+VERIFY_FAIL_FALLBACK_SYM,7,7,1,E0,8.3742,1,0,1,4(x - 2) = 20,7,runs_hybrid_v2/20251221_193934/logs/ALG09__ALG__t1.json
ALG10,ALG,1,LLM+VERIFY_PASS,16,16,1,E0,9.2650,1,1,0,(x/2) + 3 = 11,16,runs_hybrid_v2/20251221_193934/logs/ALG10__ALG__t1.json
LOG01,LOG,1,LLM_LOG_SELFCONSIST,Yes,Yes,1,E0,9.0266,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG01__LOG__t1.json
LOG02,LOG,1,LLM_LOG_SELFCONSIST,No,Yes,0,E2,8.9267,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG02__LOG__t1.json
LOG03,LOG,1,LLM_LOG_SELFCONSIST,No,Yes,0,E2,10.4740,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG03__LOG__t1.json
LOG04,LOG,1,LLM_LOG_SELFCONSIST,Yes,Yes,1,E0,8.8302,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG04__LOG__t1.json
LOG05,LOG,1,LLM_LOG_SELFCONSIST,Yes,Yes,1,E0,9.1435,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG05__LOG__t1.json
LOG06,LOG,1,LLM_LOG_SELFCONSIST,Yes,Yes,1,E0,9.2198,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG06__LOG__t1.json
LOG07,LOG,1,LLM_LOG_SELFCONSIST,No,No,1,E0,9.1839,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG07__LOG__t1.json
LOG08,LOG,1,LLM_LOG_SELFCONSIST,No,Yes,0,E2,9.4571,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG08__LOG__t1.json
LOG09,LOG,1,LLM_LOG_SELFCONSIST,No,No,1,E0,9.0581,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG09__LOG__t1.json
LOG10,LOG,1,LLM_LOG_SELFCONSIST,Yes,No,0,E2,9.0614,0,,0,,,runs_hybrid_v2/20251221_193934/logs/LOG10__LOG__t1.json
WP01,WP,1,LLM+VERIFY_PASS,48,48,1,E0,1.6474,1,1,0,12*4,48,runs_hybrid_v2/20251221_193934/logs/WP01__WP__t1.json
WP02,WP,1,LLM+VERIFY_PASS,40,40,1,E0,7.5702,1,1,0,8*5,40,runs_hybrid_v2/20251221_193934/logs/WP02__WP__t1.json
WP03,WP,1,LLM+VERIFY_PASS,18,18,1,E0,9.3254,1,1,0,30-12,18,runs_hybrid_v2/20251221_193934/logs/WP03__WP__t1.json
WP04,WP,1,LLM+VERIFY_PASS,30,30,1,E0,1.7843,1,1,0,60/2,30,runs_hybrid_v2/20251221_193934/logs/WP04__WP__t1.json
WP05,WP,1,LLM+VERIFY_PASS,2,2,1,E0,10.3710,1,1,0,6/3,2,runs_hybrid_v2/20251221_193934/logs/WP05__WP__t1.json
WP06,WP,1,LLM+VERIFY_PASS,10,10,1,E0,10.3248,1,1,0,2*5,10,runs_hybrid_v2/20251221_193934/logs/WP06__WP__t1.json
WP07,WP,1,LLM+VERIFY_PASS,4,4,1,E0,9.6849,1,1,0,24/6,4,runs_hybrid_v2/20251221_193934/logs/WP07__WP__t1.json
WP08,WP,1,LLM+VERIFY_PASS,35,35,1,E0,10.6270,1,1,0,50.0*(1-(30.0/100)),35,runs_hybrid_v2/20251221_193934/logs/WP08__WP__t1.json
WP09,WP,1,LLM+VERIFY_PASS,30,30,1,E0,1.7355,1,1,0,90/3,30,runs_hybrid_v2/20251221_193934/logs/WP09__WP__t1.json
WP10,WP,1,LLM+VERIFY_PASS,120,120,1,E0,10.0610,1,1,0,15*8,120,runs_hybrid_v2/20251221_193934/logs/WP10__WP__t1.json
AR11,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,180,180,1,E0,7.6236,1,0,1,(16 + 44) * 3,180,runs_hybrid_v2/20251221_193934/logs/AR11__AR__t1.json
AR12,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,227,227,1,E0,3.9326,1,0,1,443 - 36*6,227,runs_hybrid_v2/20251221_193934/logs/AR12__AR__t1.json
AR13,AR,1,LLM+VERIFY_PASS,23,23,1,E0,1.7158,1,1,0,46 / 2,23,runs_hybrid_v2/20251221_193934/logs/AR13__AR__t1.json
AR14,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,4524,4524,1,E0,2.2947,1,0,1,58 * 78,4524,runs_hybrid_v2/20251221_193934/logs/AR14__AR__t1.json
AR15,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,931,931,1,E0,8.6478,1,0,1,(81 * 7) + (52 * 7),931,runs_hybrid_v2/20251221_193934/logs/AR15__AR__t1.json
AR16,AR,1,LLM+VERIFY_PASS,25,25,1,E0,1.6418,1,1,0,5^2,25,runs_hybrid_v2/20251221_193934/logs/AR16__AR__t1.json
AR17,AR,1,LLM+VERIFY_PASS,90,90,1,E0,7.9308,1,1,0,(63 / 7) * 10,90,runs_hybrid_v2/20251221_193934/logs/AR17__AR__t1.json
AR18,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,499,499,1,E0,8.0565,1,0,1,(441 + 99) - 41,499,runs_hybrid_v2/20251221_193934/logs/AR18__AR__t1.json
AR19,AR,1,LLM+VERIFY_PASS,8,8,1,E0,7.4760,1,1,0,(32 * 2) / 8,8,runs_hybrid_v2/20251221_193934/logs/AR19__AR__t1.json
AR20,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,130,130,1,E0,6.7237,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR20__AR__t1.json
AR21,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,152,152,1,E0,7.4025,1,0,1,(58 + 18) * 2,152,runs_hybrid_v2/20251221_193934/logs/AR21__AR__t1.json
AR22,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,97,97,1,E0,2.2301,1,0,1,211 - 38*3,97,runs_hybrid_v2/20251221_193934/logs/AR22__AR__t1.json
AR23,AR,1,LLM+VERIFY_PASS,10,10,1,E0,1.7842,1,1,0,30 / 3,10,runs_hybrid_v2/20251221_193934/logs/AR23__AR__t1.json
AR24,AR,1,LLM+VERIFY_PASS,2660,2660,1,E0,2.1647,1,1,0,95 * 28,2660,runs_hybrid_v2/20251221_193934/logs/AR24__AR__t1.json
AR25,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,228,228,1,E0,1.7388,1,0,1,(26 * 6) + (12 * 6),228,runs_hybrid_v2/20251221_193934/logs/AR25__AR__t1.json
AR26,AR,1,LLM+VERIFY_PASS,14641,14641,1,E0,2.2290,1,1,0,11^4,14641,runs_hybrid_v2/20251221_193934/logs/AR26__AR__t1.json
AR27,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,225,225,1,E0,2.2284,1,0,1,(150 / 6) * 9,225,runs_hybrid_v2/20251221_193934/logs/AR27__AR__t1.json
AR28,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,922,922,1,E0,2.2361,1,0,1,(957 + 14) - 49,922,runs_hybrid_v2/20251221_193934/logs/AR28__AR__t1.json
AR29,AR,1,LLM+VERIFY_PASS,99,99,1,E0,6.7176,1,1,0,(55 * 9) / 5,99,runs_hybrid_v2/20251221_193934/logs/AR29__AR__t1.json
AR30,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,8,8,1,E0,6.7619,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR30__AR__t1.json
AR31,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,1113,1113,1,E0,2.3088,1,0,1,(77 + 82) * 7,1113,runs_hybrid_v2/20251221_193934/logs/AR31__AR__t1.json
AR32,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,-224,-224,1,E0,2.2882,1,0,1,56 - 35*8,-224,runs_hybrid_v2/20251221_193934/logs/AR32__AR__t1.json
AR33,AR,1,LLM+VERIFY_PASS,19,19,1,E0,1.6121,1,1,0,190 / 10,19,runs_hybrid_v2/20251221_193934/logs/AR33__AR__t1.json
AR34,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,8645,8645,1,E0,2.3304,1,0,1,91 * 95,8645,runs_hybrid_v2/20251221_193934/logs/AR34__AR__t1.json
AR35,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,1264,1264,1,E0,2.2261,1,0,1,(86 * 8) + (72 * 8),1264,runs_hybrid_v2/20251221_193934/logs/AR35__AR__t1.json
AR36,AR,1,LLM+VERIFY_PASS,10000,10000,1,E0,5.7500,1,1,0,10^4,10000,runs_hybrid_v2/20251221_193934/logs/AR36__AR__t1.json
AR37,AR,1,LLM+VERIFY_PASS,27,27,1,E0,7.9825,1,1,0,(36 / 4) * 3,27,runs_hybrid_v2/20251221_193934/logs/AR37__AR__t1.json
AR38,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,649,649,1,E0,2.3439,1,0,1,(598 + 94) - 43,649,runs_hybrid_v2/20251221_193934/logs/AR38__AR__t1.json
AR39,AR,1,LLM+VERIFY_PASS,31,31,1,E0,7.9023,1,1,0,(31 * 7) / 7,31,runs_hybrid_v2/20251221_193934/logs/AR39__AR__t1.json
AR40,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,41,41,1,E0,6.9296,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR40__AR__t1.json
AR41,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,696,696,1,E0,2.3144,1,0,1,(19 + 68) * 8,696,runs_hybrid_v2/20251221_193934/logs/AR41__AR__t1.json
AR42,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,281,281,1,E0,1.6690,1,0,1,343 - 31*2,281,runs_hybrid_v2/20251221_193934/logs/AR42__AR__t1.json
AR43,AR,1,LLM+VERIFY_PASS,22,22,1,E0,1.7093,1,1,0,66 / 3,22,runs_hybrid_v2/20251221_193934/logs/AR43__AR__t1.json
AR44,AR,1,LLM+VERIFY_PASS,5040,5040,1,E0,2.1898,1,1,0,90 * 56,5040,runs_hybrid_v2/20251221_193934/logs/AR44__AR__t1.json
AR45,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,330,330,1,E0,1.6831,1,0,1,(11 * 5) + (55 * 5),330,runs_hybrid_v2/20251221_193934/logs/AR45__AR__t1.json
AR46,AR,1,LLM+VERIFY_PASS,14641,14641,1,E0,2.2336,1,1,0,11^4,14641,runs_hybrid_v2/20251221_193934/logs/AR46__AR__t1.json
AR47,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,474,474,1,E0,2.2255,1,0,1,(158 / 2) * 6,474,runs_hybrid_v2/20251221_193934/logs/AR47__AR__t1.json
AR48,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,657,657,1,E0,2.2646,1,0,1,(606 + 90) - 39,657,runs_hybrid_v2/20251221_193934/logs/AR48__AR__t1.json
AR49,AR,1,LLM+VERIFY_PASS,180,180,1,E0,6.9779,1,1,0,(80 * 9) / 4,180,runs_hybrid_v2/20251221_193934/logs/AR49__AR__t1.json
AR50,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,98,108,0,E7,6.9448,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR50__AR__t1.json
AR51,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,1116,1116,1,E0,2.2620,1,0,1,(66 + 58) * 9,1116,runs_hybrid_v2/20251221_193934/logs/AR51__AR__t1.json
AR52,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,32,32,1,E0,2.2462,1,0,1,72 - 10*4,32,runs_hybrid_v2/20251221_193934/logs/AR52__AR__t1.json
AR53,AR,1,LLM+VERIFY_PASS,27,27,1,E0,1.7269,1,1,0,135 / 5,27,runs_hybrid_v2/20251221_193934/logs/AR53__AR__t1.json
AR54,AR,1,LLM+VERIFY_PASS,504,504,1,E0,1.7113,1,1,0,12 * 42,504,runs_hybrid_v2/20251221_193934/logs/AR54__AR__t1.json
AR55,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,912,912,1,E0,8.5854,1,0,1,(55 * 6) + (97 * 6),912,runs_hybrid_v2/20251221_193934/logs/AR55__AR__t1.json
AR56,AR,1,LLM+VERIFY_PASS,14641,14641,1,E0,2.3027,1,1,0,11^4,14641,runs_hybrid_v2/20251221_193934/logs/AR56__AR__t1.json
AR57,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,204,204,1,E0,8.1863,1,0,1,(136 / 2) * 3,204,runs_hybrid_v2/20251221_193934/logs/AR57__AR__t1.json
AR58,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,675,675,1,E0,2.3235,1,0,1,(732 + 18) - 75,675,runs_hybrid_v2/20251221_193934/logs/AR58__AR__t1.json
AR59,AR,1,LLM+VERIFY_PASS,55,55,1,E0,7.1673,1,1,0,(55 * 3) / 3,55,runs_hybrid_v2/20251221_193934/logs/AR59__AR__t1.json
AR60,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,108,108,1,E0,7.0284,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR60__AR__t1.json
AR61,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,408,408,1,E0,2.3319,1,0,1,(78 + 58) * 3,408,runs_hybrid_v2/20251221_193934/logs/AR61__AR__t1.json
AR62,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,259,259,1,E0,1.6397,1,0,1,329 - 35*2,259,runs_hybrid_v2/20251221_193934/logs/AR62__AR__t1.json
AR63,AR,1,LLM+VERIFY_PASS,17,17,1,E0,1.8588,1,1,0,102 / 6,17,runs_hybrid_v2/20251221_193934/logs/AR63__AR__t1.json
AR64,AR,1,LLM+VERIFY_PASS,980,980,1,E0,1.7077,1,1,0,70 * 14,980,runs_hybrid_v2/20251221_193934/logs/AR64__AR__t1.json
AR65,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,1064,1064,1,E0,8.8007,1,0,1,(81 * 8) + (52 * 8),1064,runs_hybrid_v2/20251221_193934/logs/AR65__AR__t1.json
AR66,AR,1,LLM+VERIFY_PASS,100,100,1,E0,5.8615,1,1,0,10^2,100,runs_hybrid_v2/20251221_193934/logs/AR66__AR__t1.json
AR67,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,384,384,1,E0,1.7126,1,0,1,(192 / 4) * 8,384,runs_hybrid_v2/20251221_193934/logs/AR67__AR__t1.json
AR68,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,233,233,1,E0,1.7359,1,0,1,(165 + 96) - 28,233,runs_hybrid_v2/20251221_193934/logs/AR68__AR__t1.json
AR69,AR,1,LLM+VERIFY_PASS,95,95,1,E0,7.0475,1,1,0,(57 * 5) / 3,95,runs_hybrid_v2/20251221_193934/logs/AR69__AR__t1.json
AR70,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,146,146,1,E0,6.7617,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR70__AR__t1.json
AR71,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,810,810,1,E0,7.7135,1,0,1,(76 + 59) * 6,810,runs_hybrid_v2/20251221_193934/logs/AR71__AR__t1.json
AR72,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,-100,-100,1,E0,2.3307,1,0,1,124 - 28*8,-100,runs_hybrid_v2/20251221_193934/logs/AR72__AR__t1.json
AR73,AR,1,LLM+VERIFY_PASS,28,28,1,E0,1.6933,1,1,0,112 / 4,28,runs_hybrid_v2/20251221_193934/logs/AR73__AR__t1.json
AR74,AR,1,LLM+VERIFY_PASS,4134,4134,1,E0,2.1639,1,1,0,78 * 53,4134,runs_hybrid_v2/20251221_193934/logs/AR74__AR__t1.json
AR75,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,404,404,1,E0,8.4251,1,0,1,(76 * 4) + (25 * 4),404,runs_hybrid_v2/20251221_193934/logs/AR75__AR__t1.json
AR76,AR,1,LLM+VERIFY_PASS,2744,2744,1,E0,2.2303,1,1,0,14^3,2744,runs_hybrid_v2/20251221_193934/logs/AR76__AR__t1.json
AR77,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,280,280,1,E0,1.7321,1,0,1,(140 / 2) * 4,280,runs_hybrid_v2/20251221_193934/logs/AR77__AR__t1.json
AR78,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,648,648,1,E0,2.2174,1,0,1,(565 + 95) - 12,648,runs_hybrid_v2/20251221_193934/logs/AR78__AR__t1.json
AR79,AR,1,LLM+VERIFY_PASS,54,54,1,E0,1.7685,1,1,0,(54 * 9) / 9,54,runs_hybrid_v2/20251221_193934/logs/AR79__AR__t1.json
AR80,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,32,32,1,E0,6.8703,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR80__AR__t1.json
AR81,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,301,301,1,E0,2.2694,1,0,1,(13 + 30) * 7,301,runs_hybrid_v2/20251221_193934/logs/AR81__AR__t1.json
AR82,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,324,324,1,E0,1.6938,1,0,1,496 - 43*4,324,runs_hybrid_v2/20251221_193934/logs/AR82__AR__t1.json
AR83,AR,1,LLM+VERIFY_PASS,10,10,1,E0,1.6492,1,1,0,100 / 10,10,runs_hybrid_v2/20251221_193934/logs/AR83__AR__t1.json
AR84,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,1817,1817,1,E0,2.1335,1,0,1,23 * 79,1817,runs_hybrid_v2/20251221_193934/logs/AR84__AR__t1.json
AR85,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,665,665,1,E0,8.5374,1,0,1,(57 * 7) + (38 * 7),665,runs_hybrid_v2/20251221_193934/logs/AR85__AR__t1.json
AR86,AR,1,LLM+VERIFY_PASS,216,216,1,E0,1.7163,1,1,0,6^3,216,runs_hybrid_v2/20251221_193934/logs/AR86__AR__t1.json
AR87,AR,1,LLM+VERIFY_PASS,155,155,1,E0,1.7578,1,1,0,(155 / 5) * 5,155,runs_hybrid_v2/20251221_193934/logs/AR87__AR__t1.json
AR88,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,412,412,1,E0,2.3340,1,0,1,(429 + 43) - 60,412,runs_hybrid_v2/20251221_193934/logs/AR88__AR__t1.json
AR89,AR,1,LLM+VERIFY_PASS,9,9,1,E0,1.7477,1,1,0,(15 * 3) / 5,9,runs_hybrid_v2/20251221_193934/logs/AR89__AR__t1.json
AR90,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,78,78,1,E0,6.9668,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR90__AR__t1.json
AR91,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,276,276,1,E0,1.7365,1,0,1,(12 + 34) * 6,276,runs_hybrid_v2/20251221_193934/logs/AR91__AR__t1.json
AR92,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,267,267,1,E0,1.7490,1,0,1,339 - 24*3,267,runs_hybrid_v2/20251221_193934/logs/AR92__AR__t1.json
AR93,AR,1,LLM+VERIFY_PASS,24,24,1,E0,1.7477,1,1,0,168 / 7,24,runs_hybrid_v2/20251221_193934/logs/AR93__AR__t1.json
AR94,AR,1,LLM+VERIFY_PASS,1060,1060,1,E0,2.1822,1,1,0,20 * 53,1060,runs_hybrid_v2/20251221_193934/logs/AR94__AR__t1.json
AR95,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,632,632,1,E0,8.6062,1,0,1,(80 * 4) + (78 * 4),632,runs_hybrid_v2/20251221_193934/logs/AR95__AR__t1.json
AR96,AR,1,LLM+VERIFY_PASS,169,169,1,E0,1.7283,1,1,0,13^2,169,runs_hybrid_v2/20251221_193934/logs/AR96__AR__t1.json
AR97,AR,1,LLM+VERIFY_PASS,136,136,1,E0,1.7495,1,1,0,(153 / 9) * 8,136,runs_hybrid_v2/20251221_193934/logs/AR97__AR__t1.json
AR98,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,866,866,1,E0,2.2693,1,0,1,(895 + 13) - 42,866,runs_hybrid_v2/20251221_193934/logs/AR98__AR__t1.json
AR99,AR,1,LLM+VERIFY_FAIL_FALLBACK_SYM,108,108,1,E0,2.3287,1,0,1,(84 * 9) / 7,108,runs_hybrid_v2/20251221_193934/logs/AR99__AR__t1.json
AR100,AR,1,LLM+VERIFY_ERROR_KEEP_LLM,44,44,1,E0,6.9723,1,,0,,,runs_hybrid_v2/20251221_193934/logs/AR100__AR__t1.json
